client_id,type_commerce,categorie_produit,produit,zone,saison,mois,jour,heure,quantite,prix_unitaire,cout_unitaire,marge_totale,date_vente
EPICERIE,EPICERIE,Boissons,Orangina,Zone touristique bord de mer,printemps,5,6,11,4,4.78,2.11,10.68,2023-05-06
EPICERIE,EPICERIE,Snacks,Chips,Zone montagne,été,8,5,8,1,2.2,1.07,1.13,2023-08-05
EPICERIE,EPICERIE,Snacks,Chips,Zone montagne,printemps,4,12,19,3,16.77,10.36,19.23,2023-04-12
PIZZERIA,PIZZERIA,Boissons,Ice Tea,Zone touristique bord de mer,hiver,1,4,20,3,20.44,13.88,19.68,2023-01-04
BOUCHERIE,BOUCHERIE,Volaille,Blanc de poulet,Zone résidentielle,été,6,22,9,2,3.68,1.61,4.14,2023-06-22
BOUCHERIE,BOUCHERIE,Préparés,Brochettes,Zone urbaine,été,8,24,16,3,4.43,3.41,3.06,2023-08-24
PIZZERIA,PIZZERIA,Desserts,Glace,Zone montagne,été,7,5,17,2,6.02,2.58,6.88,2023-07-05
EPICERIE,EPICERIE,Chocolat,Nutella,Zone urbaine,printemps,4,30,21,3,3.87,1.98,5.67,2023-04-30
EPICERIE,EPICERIE,Bonbons,Haribo,Zone touristique bord de mer,été,7,1,11,2,17.25,11.74,11.02,2023-07-01
EPICERIE,EPICERIE,Boissons,Perrier,Zone résidentielle,automne,10,1,19,2,7.25,4.24,6.02,2023-10-01
BOUCHERIE,BOUCHERIE,Préparés,Merguez,Zone touristique bord de mer,hiver,1,29,11,4,20.81,15.03,23.12,2023-01-29
BOUCHERIE,BOUCHERIE,Volaille,Blanc de poulet,Zone résidentielle,automne,10,18,22,2,18.37,8.91,18.92,2023-10-18
BOUCHERIE,BOUCHERIE,Volaille,Nuggets maison,Zone rurale,printemps,3,15,12,1,4.78,3.34,1.44,2023-03-15
EPICERIE,EPICERIE,Bonbons,Têtes Brûlées,Zone montagne,été,7,24,13,3,6.65,5.31,4.02,2023-07-24
EPICERIE,EPICERIE,Biscuits,Petit Beurre,Zone urbaine,hiver,2,26,10,4,16.24,11.64,18.4,2023-02-26
BOUCHERIE,BOUCHERIE,Préparés,Merguez,Zone rurale,été,7,15,17,7,24.91,15.24,67.69,2023-07-15
EPICERIE,EPICERIE,Boissons,Perrier,Zone urbaine,hiver,12,16,22,1,14.12,7.16,6.96,2023-12-16
EPICERIE,EPICERIE,Bonbons,Haribo,Zone touristique bord de mer,été,8,11,10,4,12.16,9.5,10.64,2023-08-11
EPICERIE,EPICERIE,Bonbons,Haribo,Zone montagne,hiver,2,24,21,3,16.19,11.93,12.78,2023-02-24
EPICERIE,EPICERIE,Snacks,Chips,Zone résidentielle,été,7,11,20,2,5.3,4.14,2.32,2023-07-11
EPICERIE,EPICERIE,Boissons,Perrier,Zone touristique bord de mer,automne,9,8,8,3,4.13,2.25,5.64,2023-09-08
BOUCHERIE,BOUCHERIE,Viande rouge,Côte de bœuf,Zone résidentielle,automne,10,18,9,4,3.51,2.09,5.68,2023-10-18
PIZZERIA,PIZZERIA,Desserts,Tiramisu,Zone résidentielle,hiver,12,4,15,1,23.75,11.07,12.68,2023-12-04
