client_id,type_commerce,categorie_produit,produit,zone,saison,mois,jour,heure,quantite,prix_unitaire,cout_unitaire,marge_totale,date_vente
BOUCHERIE,BOUCHERIE,Volaille,Blanc de poulet,Zone résidentielle,été,6,22,9,2,3.68,1.61,4.14,2023-06-22
BOUCHERIE,BOUCHERIE,Préparés,Brochettes,Zone urbaine,été,8,24,16,3,4.43,3.41,3.06,2023-08-24
BOUCHERIE,BOUCHERIE,Préparés,Merguez,Zone touristique bord de mer,hiver,1,29,11,4,20.81,15.03,23.12,2023-01-29
BOUCHERIE,BOUCHERIE,Volaille,Blanc de poulet,Zone résidentielle,automne,10,18,22,2,18.37,8.91,18.92,2023-10-18
BOUCHERIE,BOUCHERIE,Volaille,Nuggets maison,Zone rurale,printemps,3,15,12,1,4.78,3.34,1.44,2023-03-15
BOUCHERIE,BOUCHERIE,Préparés,Merguez,Zone rurale,été,7,15,17,7,24.91,15.24,67.69,2023-07-15
BOUCHERIE,BOUCHERIE,Viande rouge,Côte de bœuf,Zone résidentielle,automne,10,18,9,4,3.51,2.09,5.68,2023-10-18
BOUCHERIE,BOUCHERIE,Volaille,Nuggets maison,Zone touristique bord de mer,été,8,13,22,5,13.66,6.13,37.65,2023-08-13
BOUCHERIE,BOUCHERIE,Volaille,Nuggets maison,Zone montagne,hiver,12,5,19,2,12.94,6.16,13.56,2023-12-05
BOUCHERIE,BOUCHERIE,Préparés,Merguez,Zone urbaine,automne,9,18,9,4,21.51,9.19,49.28,2023-09-18
BOUCHERIE,BOUCHERIE,Viande rouge,Steak haché,Zone résidentielle,printemps,5,16,14,2,4.58,3.01,3.14,2023-05-16
BOUCHERIE,BOUCHERIE,Volaille,Blanc de poulet,Zone urbaine,été,8,23,17,3,24.96,19.93,15.09,2023-08-23
BOUCHERIE,BOUCHERIE,Viande rouge,Saucisses,Zone montagne,hiver,12,28,14,1,14.68,6.53,8.15,2023-12-28
BOUCHERIE,BOUCHERIE,Préparés,Brochettes,Zone montagne,printemps,3,21,22,5,23.35,17.42,29.65,2023-03-21
BOUCHERIE,BOUCHERIE,Viande rouge,Filet mignon,Zone rurale,été,6,29,12,2,20.78,15.55,10.46,2023-06-29
BOUCHERIE,BOUCHERIE,Volaille,Nuggets maison,Zone montagne,été,7,24,18,2,24.56,15.09,18.94,2023-07-24
BOUCHERIE,BOUCHERIE,Préparés,Brochettes,Zone rurale,automne,11,7,16,2,4.22,3.21,2.02,2023-11-07
BOUCHERIE,BOUCHERIE,Préparés,Brochettes,Zone résidentielle,printemps,5,21,15,0,3.32,1.71,0.0,2023-05-21
BOUCHERIE,BOUCHERIE,Volaille,Cuisses de canard,Zone montagne,hiver,2,11,10,0,5.04,2.79,0.0,2023-02-11
BOUCHERIE,BOUCHERIE,Préparés,Merguez,Zone rurale,printemps,4,23,12,5,11.74,4.83,34.55,2023-04-23
BOUCHERIE,BOUCHERIE,Préparés,Brochettes,Zone résidentielle,été,8,28,22,3,4.5,2.92,4.74,2023-08-28
BOUCHERIE,BOUCHERIE,Viande rouge,Côte de bœuf,Zone touristique bord de mer,été,7,14,13,6,6.47,3.43,18.24,2023-07-14
BOUCHERIE,BOUCHERIE,Volaille,Cuisses de canard,Zone touristique bord de mer,hiver,2,11,15,1,1.96,1.21,0.75,2023-02-11
BOUCHERIE,BOUCHERIE,Viande rouge,Côte de bœuf,Zone urbaine,hiver,1,16,11,6,6.18,2.52,21.96,2023-01-16
BOUCHERIE,BOUCHERIE,Volaille,Nuggets maison,Zone résidentielle,hiver,2,8,17,0,17.73,11.54,0.0,2023-02-08
BOUCHERIE,BOUCHERIE,Préparés,Brochettes,Zone touristique bord de mer,hiver,2,5,16,2,16.72,6.77,19.9,2023-02-05
BOUCHERIE,BOUCHERIE,Volaille,Blanc de poulet,Zone rurale,été,7,5,18,4,22.45,13.11,37.36,2023-07-05
BOUCHERIE,BOUCHERIE,Volaille,Cuisses de canard,Zone montagne,printemps,5,18,13,1,21.52,15.76,5.76,2023-05-18
BOUCHERIE,BOUCHERIE,Préparés,Brochettes,Zone montagne,hiver,1,6,16,5,23.78,10.33,67.25,2023-01-06
BOUCHERIE,BOUCHERIE,Viande rouge,Côte de bœuf,Zone touristique bord de mer,printemps,4,24,14,0,17.76,9.28,0.0,2023-04-24
BOUCHERIE,BOUCHERIE,Volaille,Nuggets maison,Zone rurale,printemps,5,19,12,2,7.41,3.32,8.18,2023-05-19
BOUCHERIE,BOUCHERIE,Préparés,Brochettes,Zone urbaine,printemps,4,10,12,6,6.85,3.23,21.72,2023-04-10
BOUCHERIE,BOUCHERIE,Volaille,Cuisses de canard,Zone résidentielle,hiver,1,27,12,5,23.61,13.96,48.25,2023-01-27
BOUCHERIE,BOUCHERIE,Volaille,Nuggets maison,Zone montagne,hiver,1,31,17,5,24.06,10.58,67.4,2023-01-31
BOUCHERIE,BOUCHERIE,Préparés,Merguez,Zone rurale,hiver,2,28,16,2,6.78,3.12,7.32,2023-02-28
BOUCHERIE,BOUCHERIE,Viande rouge,Côte de bœuf,Zone urbaine,printemps,3,26,20,2,8.73,6.11,5.24,2023-03-26
BOUCHERIE,BOUCHERIE,Préparés,Brochettes,Zone rurale,hiver,2,11,17,6,2.44,1.4,6.24,2023-02-11
BOUCHERIE,BOUCHERIE,Préparés,Brochettes,Zone urbaine,hiver,2,16,11,4,24.1,17.7,25.6,2023-02-16
BOUCHERIE,BOUCHERIE,Volaille,Nuggets maison,Zone rurale,printemps,5,28,18,5,23.71,17.2,32.55,2023-05-28
BOUCHERIE,BOUCHERIE,Préparés,Merguez,Zone montagne,été,8,25,14,4,2.77,1.68,4.36,2023-08-25
BOUCHERIE,BOUCHERIE,Préparés,Brochettes,Zone urbaine,hiver,1,15,18,6,15.81,7.84,47.82,2023-01-15
BOUCHERIE,BOUCHERIE,Volaille,Cuisses de canard,Zone rurale,printemps,5,5,15,2,14.45,8.0,12.9,2023-05-05
BOUCHERIE,BOUCHERIE,Viande rouge,Saucisses,Zone montagne,automne,9,5,13,8,9.31,6.56,22.0,2023-09-05
BOUCHERIE,BOUCHERIE,Volaille,Cuisses de canard,Zone résidentielle,hiver,12,24,11,0,14.94,7.37,0.0,2023-12-24
BOUCHERIE,BOUCHERIE,Viande rouge,Steak haché,Zone rurale,hiver,12,28,22,3,20.57,11.4,27.51,2023-12-28
BOUCHERIE,BOUCHERIE,Préparés,Merguez,Zone montagne,hiver,2,5,11,3,16.33,12.55,11.34,2023-02-05
BOUCHERIE,BOUCHERIE,Viande rouge,Steak haché,Zone urbaine,hiver,1,24,13,2,20.21,10.46,19.5,2023-01-24
BOUCHERIE,BOUCHERIE,Volaille,Blanc de poulet,Zone résidentielle,automne,9,29,14,0,14.8,10.61,0.0,2023-09-29
BOUCHERIE,BOUCHERIE,Volaille,Nuggets maison,Zone montagne,printemps,3,22,9,3,11.88,6.39,16.47,2023-03-22
BOUCHERIE,BOUCHERIE,Viande rouge,Filet mignon,Zone rurale,automne,10,20,13,5,15.01,11.96,15.25,2023-10-20
