client_id,type_commerce,categorie_produit,produit,zone,saison,mois,jour,heure,quantite,prix_unitaire,cout_unitaire,marge_totale,date_vente
EPICERIE,EPICERIE,Boissons,Orangina,Zone touristique bord de mer,printemps,5,6,11,4,4.78,2.11,10.68,2023-05-06
EPICERIE,EPICERIE,Snacks,Chips,Zone montagne,été,8,5,8,1,2.2,1.07,1.13,2023-08-05
EPICERIE,EPICERIE,Snacks,Chips,Zone montagne,printemps,4,12,19,3,16.77,10.36,19.23,2023-04-12
EPICERIE,EPICERIE,Chocolat,Nutella,Zone urbaine,printemps,4,30,21,3,3.87,1.98,5.67,2023-04-30
EPICERIE,EPICERIE,Bonbons,Haribo,Zone touristique bord de mer,été,7,1,11,2,17.25,11.74,11.02,2023-07-01
EPICERIE,EPICERIE,Boissons,Perrier,Zone résidentielle,automne,10,1,19,2,7.25,4.24,6.02,2023-10-01
EPICERIE,EPICERIE,Bonbons,Têtes Brûlées,Zone montagne,été,7,24,13,3,6.65,5.31,4.02,2023-07-24
EPICERIE,EPICERIE,Biscuits,Petit Beurre,Zone urbaine,hiver,2,26,10,4,16.24,11.64,18.4,2023-02-26
EPICERIE,EPICERIE,Boissons,Perrier,Zone urbaine,hiver,12,16,22,1,14.12,7.16,6.96,2023-12-16
EPICERIE,EPICERIE,Bonbons,Haribo,Zone touristique bord de mer,été,8,11,10,4,12.16,9.5,10.64,2023-08-11
EPICERIE,EPICERIE,Bonbons,Haribo,Zone montagne,hiver,2,24,21,3,16.19,11.93,12.78,2023-02-24
EPICERIE,EPICERIE,Snacks,Chips,Zone résidentielle,été,7,11,20,2,5.3,4.14,2.32,2023-07-11
EPICERIE,EPICERIE,Boissons,Perrier,Zone touristique bord de mer,automne,9,8,8,3,4.13,2.25,5.64,2023-09-08
EPICERIE,EPICERIE,Snacks,Curly,Zone résidentielle,automne,10,4,20,3,18.65,8.96,29.07,2023-10-04
EPICERIE,EPICERIE,Snacks,Curly,Zone résidentielle,été,8,31,20,1,11.07,4.85,6.22,2023-08-31
EPICERIE,EPICERIE,Biscuits,Prince,Zone rurale,été,7,30,15,4,21.8,9.19,50.44,2023-07-30
EPICERIE,EPICERIE,Boissons,Orangina,Zone rurale,été,6,23,20,3,21.75,10.86,32.67,2023-06-23
EPICERIE,EPICERIE,Snacks,Chips,Zone montagne,été,6,3,22,3,17.09,13.25,11.52,2023-06-03
EPICERIE,EPICERIE,Bonbons,Haribo,Zone touristique bord de mer,automne,9,16,15,3,7.4,5.65,5.25,2023-09-16
EPICERIE,EPICERIE,Chocolat,M&M’s,Zone urbaine,été,7,9,17,6,14.48,8.28,37.2,2023-07-09
EPICERIE,EPICERIE,Chocolat,Nutella,Zone résidentielle,hiver,12,26,9,3,10.49,4.36,18.39,2023-12-26
EPICERIE,EPICERIE,Chocolat,Nutella,Zone rurale,hiver,2,5,18,3,23.14,15.02,24.36,2023-02-05
EPICERIE,EPICERIE,Boissons,Perrier,Zone touristique bord de mer,automne,9,17,12,0,17.17,9.11,0.0,2023-09-17
EPICERIE,EPICERIE,Bonbons,Haribo,Zone résidentielle,été,8,4,18,5,23.6,15.83,38.85,2023-08-04
