client_id,type_commerce,categorie_produit,produit,zone,saison,mois,jour,heure,quantite,prix_unitaire,cout_unitaire,marge_totale,date_vente
PIZZERIA,PIZZERIA,Boissons,Ice Tea,Zone touristique bord de mer,hiver,1,4,20,3,20.44,13.88,19.68,2023-01-04
PIZZERIA,PIZZERIA,Desserts,Glace,Zone montagne,été,7,5,17,2,6.02,2.58,6.88,2023-07-05
PIZZERIA,PIZZERIA,Desserts,Tiramisu,Zone résidentielle,hiver,12,4,15,1,23.75,11.07,12.68,2023-12-04
PIZZERIA,PIZZERIA,Pizza,Saumon,Zone urbaine,automne,10,29,16,3,6.91,3.37,10.62,2023-10-29
PIZZERIA,PIZZERIA,Desserts,Moelleux choco,Zone urbaine,printemps,4,28,9,5,22.78,16.94,29.2,2023-04-28
PIZZERIA,PIZZERIA,Desserts,Tiramisu,Zone touristique bord de mer,hiver,12,9,15,0,6.53,2.96,0.0,2023-12-09
PIZZERIA,PIZZERIA,Desserts,Glace,Zone résidentielle,été,8,5,10,1,8.05,4.02,4.03,2023-08-05
PIZZERIA,PIZZERIA,Boissons,Ice Tea,Zone urbaine,hiver,1,26,18,7,24.98,18.35,46.41,2023-01-26
PIZZERIA,PIZZERIA,Pizza,4 fromages,Zone rurale,automne,9,6,15,3,6.52,3.65,8.61,2023-09-06
PIZZERIA,PIZZERIA,Pizza,Végétarienne,Zone urbaine,été,7,19,12,4,23.27,16.62,26.6,2023-07-19
PIZZERIA,PIZZERIA,Pizza,Calzone,Zone montagne,hiver,2,1,19,1,8.87,3.73,5.14,2023-02-01
PIZZERIA,PIZZERIA,Desserts,Tiramisu,Zone rurale,printemps,3,3,22,4,14.89,9.4,21.96,2023-03-03
PIZZERIA,PIZZERIA,Desserts,Tiramisu,Zone rurale,hiver,12,3,17,1,14.78,7.78,7.0,2023-12-03
PIZZERIA,PIZZERIA,Desserts,Tiramisu,Zone montagne,printemps,5,16,10,5,23.43,17.63,29.0,2023-05-16
PIZZERIA,PIZZERIA,Boissons,Eau,Zone résidentielle,été,8,13,21,5,14.27,7.43,34.2,2023-08-13
PIZZERIA,PIZZERIA,Boissons,Coca,Zone urbaine,automne,10,11,10,2,7.9,5.07,5.66,2023-10-11
PIZZERIA,PIZZERIA,Pizza,Végétarienne,Zone touristique bord de mer,hiver,1,23,8,3,9.34,4.22,15.36,2023-01-23
PIZZERIA,PIZZERIA,Boissons,Eau,Zone urbaine,été,7,3,11,1,17.53,11.69,5.84,2023-07-03
PIZZERIA,PIZZERIA,Boissons,Coca,Zone résidentielle,été,6,20,20,4,23.37,16.85,26.08,2023-06-20
PIZZERIA,PIZZERIA,Pizza,Raclette,Zone rurale,été,6,18,12,3,21.81,17.16,13.95,2023-06-18
PIZZERIA,PIZZERIA,Pizza,Kebab,Zone résidentielle,automne,10,25,12,6,2.4,1.53,5.22,2023-10-25
PIZZERIA,PIZZERIA,Boissons,Coca,Zone rurale,hiver,1,1,16,6,23.25,14.31,53.64,2023-01-01
PIZZERIA,PIZZERIA,Desserts,Moelleux choco,Zone touristique bord de mer,été,7,27,16,2,21.09,11.0,20.18,2023-07-27
PIZZERIA,PIZZERIA,Boissons,Ice Tea,Zone montagne,hiver,12,2,13,6,12.43,7.17,31.56,2023-12-02
PIZZERIA,PIZZERIA,Desserts,Glace,Zone résidentielle,hiver,12,4,9,2,8.17,5.44,5.46,2023-12-04
PIZZERIA,PIZZERIA,Pizza,Raclette,Zone rurale,automne,11,9,21,3,19.56,11.39,24.51,2023-11-09
PIZZERIA,PIZZERIA,Pizza,Végétarienne,Zone résidentielle,printemps,4,1,20,8,24.01,14.58,75.44,2023-04-01
PIZZERIA,PIZZERIA,Desserts,Tiramisu,Zone urbaine,été,8,22,10,4,20.33,13.56,27.08,2023-08-22
PIZZERIA,PIZZERIA,Desserts,Tiramisu,Zone urbaine,été,8,1,14,2,9.28,5.44,7.68,2023-08-01
PIZZERIA,PIZZERIA,Pizza,Végétarienne,Zone rurale,automne,10,27,19,4,1.96,1.47,1.96,2023-10-27
PIZZERIA,PIZZERIA,Boissons,Ice Tea,Zone montagne,hiver,12,6,8,0,3.47,1.98,0.0,2023-12-06
PIZZERIA,PIZZERIA,Pizza,4 fromages,Zone rurale,hiver,12,9,9,3,14.75,7.19,22.68,2023-12-09
